date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
20130218,sh.000001,2441.906,2444.804,2415.429,2421.558,2432.402,11617499400,1.04E+11,3,0.005951,1,-0.445814,0
20130219,sh.000001,2420.265,2427.075,2373.535,2382.914,2421.558,12347333400,1.06E+11,3,0.006324,1,-1.595834,0
20130220,sh.000001,2383.493,2397.941,2370.608,2397.178,2382.914,11028057700,97222298954,3,0.005649,1,0.598591,0
20130221,sh.000001,2378.822,2378.822,2309.171,2325.951,2397.178,14405947800,1.27E+11,3,0.007379,1,-2.971288,0
20130222,sh.000001,2322.94,2330.879,2308.76,2314.164,2325.951,9698182800,87579820983,3,0.004968,1,-0.506755,0
20130225,sh.000001,2320.618,2338.78,2315.012,2325.819,2314.164,8836737400,77642340941,3,0.004521,1,0.503639,0
20130226,sh.000001,2313.74,2340.709,2289.887,2293.341,2325.819,11763866700,1.06E+11,3,0.006009,1,-1.396412,0
20130227,sh.000001,2297.767,2324.627,2292.034,2313.22,2293.341,9782488700,88262924234,3,0.004997,1,0.86681,0
20130228,sh.000001,2322.323,2366.164,2308.916,2365.593,2313.22,12695049400,1.16E+11,3,0.006484,1,2.264076,0
20130301,sh.000001,2364.544,2369.649,2330.858,2359.506,2365.593,12031275200,1.12E+11,3,0.006144,1,-0.25731,0
20130304,sh.000001,2332.08,2333.54,2259.247,2273.404,2359.506,16175002500,1.43E+11,3,0.008259,1,-3.649156,0
20130305,sh.000001,2274.808,2328.143,2270.1,2326.306,2273.404,13113659800,1.17E+11,3,0.006696,1,2.326989,0
20130306,sh.000001,2333.615,2351.441,2321.6,2347.179,2326.306,14133369200,1.25E+11,3,0.007215,1,0.897262,0
20130307,sh.000001,2340.436,2352.021,2304.27,2324.293,2347.179,13975634800,1.26E+11,3,0.007135,1,-0.975042,0
20130308,sh.000001,2326.417,2333.667,2314.587,2318.611,2324.293,9879414800,88438607018,3,0.005044,1,-0.244456,0
20130311,sh.000001,2314.683,2320.961,2296.583,2310.593,2318.611,8411190300,73919947382,3,0.004294,1,-0.345813,0
20130312,sh.000001,2309.158,2333.286,2264.829,2286.605,2310.593,11766445600,1.01E+11,3,0.006006,1,-1.038177,0
20130313,sh.000001,2282.17,2286.329,2253.249,2263.968,2286.605,9097278800,77688955841,3,0.004643,1,-0.989981,0
20130314,sh.000001,2255.775,2276.222,2253.31,2270.277,2263.968,8029408600,69218592825,3,0.004098,1,0.278674,0
20130315,sh.000001,2269.315,2312.078,2250.005,2278.401,2270.277,11647781300,1.02E+11,3,0.005942,1,0.357832,0
20130318,sh.000001,2267.287,2276.05,2239.214,2240.016,2278.401,9312277200,81486175707,3,0.00475,1,-1.684724,0
20130319,sh.000001,2244.265,2261.314,2232.023,2257.434,2240.016,8758210500,75512072273,3,0.004467,1,0.777582,0
20130320,sh.000001,2257.737,2317.86,2257.421,2317.374,2257.434,13124128400,1.14E+11,3,0.006694,1,2.655225,0
20130321,sh.000001,2318.205,2330.813,2311.603,2324.242,2317.374,11920091000,1.05E+11,3,0.006078,1,0.296366,0
20130322,sh.000001,2321.403,2331.995,2314.967,2328.278,2324.242,10116729900,85951321520,3,0.005158,1,0.173654,0
20130325,sh.000001,2334.735,2344.894,2319.908,2326.715,2328.278,9703152600,85418622369,3,0.004947,1,-0.067131,0
20130326,sh.000001,2318.578,2319.988,2281.118,2297.669,2326.715,10444901500,91811327564,3,0.005325,1,-1.248376,0
20130327,sh.000001,2299.377,2323.477,2288.995,2301.259,2297.669,9633119500,85708419365,3,0.004911,1,0.156249,0
20130328,sh.000001,2273.552,2273.552,2232.906,2236.302,2301.259,12765869800,1.08E+11,3,0.006508,1,-2.822674,0
20130329,sh.000001,2238.485,2246.868,2228.813,2236.621,2236.302,8556547300,73358185133,3,0.004361,1,0.014269,0
20130401,sh.000001,2229.46,2243.949,2227.314,2234.395,2236.621,7741177400,66997534038,3,0.003934,1,-0.099528,0
20130402,sh.000001,2234.901,2253.421,2220.439,2227.74,2234.395,8971432300,77596667316,3,0.004559,1,-0.297845,0
20130403,sh.000001,2232.694,2241.34,2217.252,2225.295,2227.74,8179526700,68801356871,3,0.004156,1,-0.109756,0
20130408,sh.000001,2196.238,2212.586,2180.673,2211.592,2225.295,8625747000,73666169988,3,0.004383,1,-0.615778,0
20130409,sh.000001,2215.467,2234.725,2215.467,2225.775,2211.592,8289654400,73135035445,3,0.004212,1,0.641296,0
20130410,sh.000001,2224.934,2233.04,2212.561,2226.126,2225.775,8061962100,71090219578,3,0.004096,1,0.015773,0
20130411,sh.000001,2236.983,2242.479,2217.265,2219.553,2226.126,7363270400,62132700158,3,0.003741,1,-0.295266,0
20130412,sh.000001,2218.095,2226.262,2204.438,2206.78,2219.553,6684634000,56196878022,3,0.003396,1,-0.575474,0
20130415,sh.000001,2199.914,2204.987,2177.388,2181.942,2206.78,7163232300,58162177672,3,0.003638,1,-1.125537,0
20130416,sh.000001,2169.63,2196.432,2165.784,2194.846,2181.942,7999217800,66955845024,3,0.004063,1,0.591402,0
20130417,sh.000001,2195.032,2197.508,2178.468,2193.796,2194.846,6831418100,59986556162,3,0.003469,1,-0.047842,0
20130418,sh.000001,2181.822,2206.027,2175.444,2197.602,2193.796,7161692700,61888122713,3,0.003637,1,0.173496,0
20130419,sh.000001,2201.122,2250.11,2200.584,2244.643,2197.602,10966055600,95383012019,3,0.005566,1,2.140561,0
20130422,sh.000001,2236.402,2245.119,2232.258,2242.169,2244.643,9523373000,82244998209,3,0.004833,1,-0.110223,0
20130423,sh.000001,2242.616,2242.616,2182.806,2184.538,2242.169,9654131500,82217516673,3,0.004899,1,-2.570318,0
20130424,sh.000001,2187.349,2226.117,2184.109,2218.318,2184.538,9160026100,78977211750,3,0.004648,1,1.546324,0
20130425,sh.000001,2213.185,2224.63,2191.848,2199.307,2218.318,9670418800,84483236302,3,0.004907,1,-0.857011,0
20130426,sh.000001,2203.889,2210.581,2173.864,2177.912,2199.307,7667397000,65251506871,3,0.003889,1,-0.972796,0
